Area,Sub-Area
SETAPAK,1. Desa Melawati
,2. Saville Melati
,3. Jalan E1
,4. Jalan H3
,5. Taman Melawati 1
,6. Taman Melawati 2
,7. Taman Melawati 3
,8. Jalan J9
,9. Ukay Boulevard
,10. Taman Lembah Keramat
,11. Taman Permata
,12. Wangsa Setia
,13. Dataran Wangsa
,14. Wangsa Murni
,15. Wangsa Budi
,16. Wangsa Melawati
,17. Wangsa Delima
,18. Wangsa Link
,19. Sunway Avilla
,20. Fera
,21. Lexa
,22. Hedgeford 10
,23. Wangsa Seksyen 10
,24. Season Garden
,25. Sri Rampai (Old)
,26. Megan Setapak
,27. Rampai Business Park
,28. Wangsa Niaga
,29. The Parc
,30. Rejang 6
,31. Jalan Usahawan 7
,32. Kawasan Perindustrian Ringan
,33. Wangsa Maju Seksyen 1
,34. Wangsa Metroview
,35. Desa Setapak (BRJ)
,36. Desa Setapak
,37. Bandar Baru Wangsa
,38. Taman Bunga Raya
,39. Melati Utama
,40. Platinum Hill
,41. Taman Melati 11
,42. Taman Cemerlang
,43. Danau Kota Uptown
,44. Taman Danau Kota
,45. Platinum Walk
,46. Danau Kota
,47. StarParc Point
,48. Jalan 2/23a Part 1
,49. Jalan 2/23a Part 2
,50. The Ark
,51. PV 22
,52. PV 21
,53. Medan Makmur
,54. M Astra
,55. MH2
,56. J Satine
,57. Taman Setiawangsa
,58. Setiawangsa Jekatek
,59. Setapak Village
,60. Crystal Ville
,61. PV 128
,62. Metro 126
,63. Setapak 33
,64. The Nest
,65. Plaza Prima Setapak
,66. Prima Setapak
,67. Sri Pelangi
,68. Taman Setapak Indah Jaya (KFC Jalan GentingKlang)
,69. MH Avenue
,70. Jalan Mawar
,71. Residency 222
,72. Diamond Square
,73. Desa Gombak
,74. The Platz
,75. KL Trader Square
,76. Suria Setapak
,77. Residensi Gombak 126
,78. Medan Idaman
,79. Jalan Cengal
,80. Taman Setapak Indah
,81. Jalan Langkawi
,82. Teratai Mewah
,83. Jalan Angsana
,84. Jalan Pahang (Bunga Melati)
,85. Wisma Mutiara
,86. Jalan Genting Klang Part 1
,87. Jalan Genting Klang Part 2
,88. Jalan Genting Klang Part 3
,89. Jalan Genting Klang Part 4
,90. Jalan Pahang Part 1
,91. Jalan Pahang Part 2
,92. Jalan Pahang Part 3
,93. Jalan Puah Jaya
,94. Tawakkal KL Jalan Pahang
,95. Persiaran Titiwangsa
,96. The Palette
,97. PV 12
