Industries,Categories,Types
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Fast Food
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Chinese Food
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Malay Food
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Dimsum (Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Dimsum
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Vegetarian
Food & Beverage,Food & Beverage- Restaurant,Restaurant- India Food
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Arabian Food
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Western Food (Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Western Food (Non-Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Korean Food (Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Korean Food (Non-Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Japanese Food (Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Japanese Food (Non-Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- NyoNya Food (Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- NyoNya Food (Non-Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Taiwanese Food
Food & Beverage,Food & Beverage- Restaurant,Restaurant- China Food 中国餐 (Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- China Food 中国餐 (Non-Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Thai Food (Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Thai Food (Non-Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Local Cuisine
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Mamak
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Steamboat (Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Steamboat (Non-Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Thai BBQ (Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Thai BBQ (Non-Halal)
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Noodle House
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Vietnamese Food
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Snacks
Food & Beverage,Food & Beverage- Restaurant,Restaurant- Others
Food & Beverage,Food & Beverage- Cafe,Cafe- Pastries n Coffee (Halal)
Food & Beverage,Food & Beverage- Cafe,Cafe- Pastries n Coffee (Non-Halal)
Food & Beverage,Food & Beverage- Dessert,Dessert- Boba Tea
Food & Beverage,Food & Beverage- Dessert,Dessert- Shave Ice
Food & Beverage,Food & Beverage- Dessert,Dessert- IceCream
Food & Beverage,Food & Beverage- Dessert,Dessert- Chinese TongShui
Food & Beverage,Food & Beverage- Dessert,Dessert- Others
Food & Beverage,Food & Beverage- Hawker,Hawker- Chinese
